Data Series,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
  25 Year,"50,511","51,256","51,948","53,526","54,848","54,602","53,986","56,188","53,813","58,016","52,790","45,178","47,128","50,448","49,189","50,240","48,967","48,084","46,659","46,394","45,077","49,057","46,390","47,121","50,837","54,190","52,321","51,550","48,814","48,971","51,449","52,545","55,678","55,224","56,093","55,199","55,665","57,203","57,877","57,710","56,439","55,728","52,528","50,425"
  26 Year,"52,905","53,934","53,792","56,169","55,958","55,345","57,887","55,031","59,717","54,201","46,571","48,298","50,941","50,518","54,295","51,529","50,386","48,611","48,047","46,319","49,817","48,612","48,809","51,902","55,451","53,683","52,908","50,012","50,045","52,482","53,513","56,776","56,279","58,511","55,733","56,263","57,581","58,226","58,185","56,988","56,391","53,342","51,312","49,369"
  27 Year,"55,709","56,042","56,547","57,135","56,940","59,374","56,782","61,112","55,903","47,884","49,624","52,070","50,874","55,591","55,965","53,072","50,847","50,059","48,010","51,179","49,320","50,718","53,271","56,383","54,825","54,252","51,298","51,230","53,516","54,392","57,730","57,252","59,400","58,014","56,747","58,007","58,472","58,443","57,335","56,845","53,911","51,964","50,100","46,378"
  28 Year,"57,980","58,902","57,514","58,174","60,921","58,092","62,843","57,195","49,340","50,876","53,515","52,080","55,912","57,471","57,310","53,479","52,352","49,910","52,938","50,437","51,304","55,102","57,498","55,616","55,412","52,612","52,516","54,586","55,224","58,553","58,061","60,258","58,864","58,851","58,349","58,749","58,654","57,526","57,172","54,329","52,443","50,671","47,017","44,324"
  29 Year,"60,784","59,948","58,236","61,993","59,527","64,218","58,700","50,462","52,257","54,682","53,115","56,956","57,751","58,611","57,549","54,794","51,971","54,995","52,145","52,384","55,360","59,231","56,786","56,139","53,692","53,780","55,726","56,104","59,412","58,865","61,036","59,659","59,618","60,340","59,043","58,921","57,711","57,393","54,673","52,835","51,142","47,545","44,888","42,299"
  30 Year,"61,854","60,496","61,866","60,338","65,537","59,750","51,609","53,204","55,717","53,933","57,984","58,654","58,809","58,714","58,492","54,118","56,990","53,915","54,136","56,342","59,211","58,329","57,048","54,326","54,722","56,800","57,089","60,302","59,647","61,714","60,428","60,271","60,981","60,759","59,170","57,959","57,605","54,924","53,189","51,576","48,012","45,403","42,811","43,367"
  31 Year,"62,356","64,199","60,002","66,176","60,724","52,459","54,228","56,530","54,762","58,699","59,374","59,450","58,795","59,486","57,151","58,616","55,545","55,774","57,860","60,104","58,195","58,343","55,026","55,312","57,609","58,093","61,208","60,510","62,482","61,114","60,899","61,563","61,327","60,911","58,131","57,886","55,177","53,438","51,940","48,417","45,818","43,242","43,754","42,663"
  32 Year,"65,929","62,107","65,456","61,327","53,182","54,948","57,228","55,306","59,378","59,815","59,911","59,146","59,548","58,067","61,530","56,870","57,288","59,382","61,430","59,011","58,002","56,113","55,833","58,118","58,878","62,135","61,303","63,273","61,760","61,453","62,022","61,809","61,468","59,613","58,171","55,479","53,691","52,226","48,793","46,197","43,624","44,102","42,990","40,202"
  33 Year,"63,904","67,676","60,559","53,850","55,603","57,809","55,949","59,811","60,328","60,177","59,393","59,863","58,072","62,374","59,390","58,541","60,728","62,794","60,196","58,683","55,721","56,724","58,928","59,333","62,790","62,200","64,028","62,478","61,998","62,501","62,176","61,874","60,102","59,700","55,787","53,952","52,485","49,083","46,500","43,932","44,375","43,233","40,514","40,411"
  34 Year,"69,584","62,675","53,177","56,107","58,400","56,431","60,326","60,693","60,434","59,663","60,208","58,283","62,331","60,046","60,677","61,672","63,902","61,386","59,792","56,349","56,175","59,675","59,855","63,201","62,868","64,875","63,145","62,531","62,937","62,553","62,207","60,511","60,144","57,340","54,270","52,756","49,365","46,742","44,183","44,598","43,396","40,776","40,709","27,607"
  35 Year,"64,345","55,025","55,400","58,702","56,905","60,668","61,047","60,675","59,899","60,336","58,299","62,454","60,088","61,169","63,404","64,606","62,348","60,716","57,137","56,668","58,947","60,472","63,699","63,256","65,411","63,867","63,014","63,361","62,915","62,533","60,856","60,488","57,789","55,643","53,046","49,689","47,005","44,428","44,816","43,574","41,035","41,000","27,825","21,959"
  36 Year,"56,688","57,182","57,756","57,119","60,997","61,266","60,864","60,044","60,485","58,331","62,510","60,061","61,069","63,923","66,309","62,937","61,544","57,928","57,383","59,351","59,692","64,294","63,474","65,754","64,389","63,527","63,785","63,301","62,846","61,139","60,819","58,098","56,023","54,317","50,003","47,288","44,664","44,993","43,726","41,247","41,253","28,023","22,119","26,728"
  37 Year,"58,725","59,570","56,128","61,119","61,516","61,025","60,143","60,522","58,359","62,419","59,994","61,185","63,839","66,634","64,452","61,949","58,580","58,081","59,900","60,020","63,439","63,922","66,273","64,756","63,916","64,172","63,583","63,164","61,481","61,115","58,384","56,299","54,737","51,185","47,575","44,923","45,158","43,817","41,419","41,481","28,171","22,257","26,937","23,380"
  38 Year,"61,057","57,733","59,856","61,494","61,159","60,243","60,537","58,416","62,443","59,931","61,035","63,813","66,522","64,796","63,168","58,940","58,611","60,475","60,549","63,712","62,980","66,668","65,069","64,181","64,465","63,917","63,426","61,854","61,357","58,640","56,547","54,986","51,568","48,735","45,152","45,328","43,921","41,570","41,682","28,288","22,338","27,112","23,534","24,242"
  39 Year,"59,222","61,471","60,081","61,081","60,241","60,518","58,365","62,341","59,881","61,012","63,665","66,457","64,643","63,502","59,978","58,811","60,890","61,003","64,184","63,157","65,585","65,397","64,363","64,674","64,109","63,726","62,135","61,585","58,836","56,707","55,173","51,817","49,074","46,113","45,493","44,022","41,708","41,832","28,374","22,406","27,256","23,653","24,376","28,387"
  40 Year,"62,958","61,640","59,496","60,080","60,509","58,334","62,251","59,810","60,833","63,618","66,265","64,578","63,290","60,194","59,698","61,075","61,242","64,518","63,532","65,759","64,314","64,601","64,662","64,220","63,882","62,366","61,790","59,020","56,854","55,332","52,004","49,260","46,358","46,489","44,131","41,855","41,963","28,432","22,441","27,375","23,754","24,471","28,492","29,115"
  41 Year,"63,028","60,949","58,569","60,227","58,334","62,114","59,723","60,665","63,483","66,062","64,422","63,171","59,980","59,921","61,803","61,296","64,691","63,814","65,926","64,430","63,507","64,838","64,513","63,969","62,586","62,011","59,141","57,036","55,503","52,135","49,396","46,513","46,742","44,896","41,981","42,103","28,479","22,437","27,473","23,804","24,523","28,549","29,121","28,237"
  42 Year,"62,254","59,884","58,580","58,093","61,968","59,650","60,591","63,367","65,902","64,184","62,993","59,858","59,778","62,055","61,834","64,753","64,006","66,154","64,674","63,549","63,743","64,635","64,049","62,721","62,130","59,263","57,116","55,660","52,248","49,514","46,619","46,905","45,112","42,773","42,245","28,514","22,413","27,514","23,831","24,563","28,572","29,104","28,219","23,156"
  43 Year,"60,992","59,861","56,334","61,660","59,620","60,449","63,218","65,813","63,942","62,811","59,603","59,601","61,836","61,946","65,242","64,009","66,234","64,770","63,597","63,718","63,602","64,097","62,729","62,185","59,320","57,237","55,770","52,352","49,577","46,703","47,015","45,237","42,957","42,946","28,546","22,402","27,572","23,856","24,580","28,592","29,085","28,177","23,136","20,952"
  44 Year,"60,941","57,537","59,791","59,231","60,332","63,093","65,701","63,790","62,595","59,348","59,298","61,615","61,730","65,325","64,406","66,230","64,876","63,761","63,743","63,601","63,116","62,692","62,043","59,325","57,322","55,879","52,442","49,618","46,814","47,099","45,284","43,086","43,041","28,959","22,365","27,628","23,878","24,599","28,595","29,045","28,105","23,103","20,817","22,629"
  45 Year,"58,562","60,965","57,552","59,925","62,896","65,570","63,668","62,487","59,147","59,055","61,310","61,505","65,165","64,448","66,602","64,807","63,708","63,819","63,612","63,095","61,721","62,065","59,466","57,317","55,937","52,541","49,659","46,857","47,174","45,404","43,148","43,105","29,082","22,666","27,665","23,870","24,591","28,578","28,971","28,022","23,037","20,680","22,422","22,981"
  46 Year,"61,938","58,639","58,103","62,527","65,365","63,406","62,324","58,992","58,817","60,973","61,196","64,870","64,244","66,596","65,066","63,567","63,860","63,600","63,065","61,682","61,099","59,431","57,278","55,905","52,566","49,687","46,899","47,203","45,451","43,191","43,134","29,144","22,785","28,045","23,885","24,595","28,570","28,890","27,923","22,988","20,523","22,192","23,020","20,448"
  47 Year,"59,497","59,117","60,627","64,961","63,186","62,097","58,744","58,594","60,799","60,959","64,553","64,046","66,359","65,087","63,686","63,699","63,524","63,043","61,639","61,053","58,617","57,211","55,838","52,541","49,689","46,928","47,215","45,466","43,201","43,111","29,155","22,845","28,082","24,139","24,610","28,557","28,805","27,825","22,906","20,356","21,939","23,042","20,506","20,546"
  48 Year,"60,074","61,591","63,013","62,836","61,900","58,577","58,402","60,596","60,722","64,217","63,652","66,015","64,825","63,652","63,731","63,323","62,928","61,578","60,883","58,502","56,385","55,791","52,335","49,610","46,895","47,221","45,474","43,182","43,088","29,187","22,838","28,080","24,188","24,846","28,520","28,725","27,729","22,822","20,162","21,680","23,068","20,556","20,516","19,501"
  49 Year,"62,444","64,005","60,830","61,491","58,335","58,188","60,319","60,514","63,928","63,329","65,625","64,489","63,398","63,676","63,412","62,682","61,532","60,818","58,347","56,339","54,969","52,240","49,652","46,828","47,196","45,487","43,178","43,061","29,172","22,870","28,057","24,211","24,868","28,743","28,612","27,630","22,736","19,967","21,381","23,084","20,599","20,454","19,476","19,486"
  50 Year,"64,841","61,668","59,488","57,874","57,863","60,076","60,219","63,657","63,010","65,309","64,122","63,029","63,392","63,241","62,639","61,232","60,666","58,245","56,157","54,801","50,710","49,556","46,693","47,090","45,413","43,101","42,995","29,119","22,886","28,002","24,197","24,865","28,713","28,746","27,484","22,634","19,747","21,091","23,045","20,625","20,369","19,393","19,368","19,935"
  51 Year,"62,362","60,268","55,994","57,508","59,799","59,890","63,296","62,675","64,879","63,745","62,637","63,020","62,976","62,271","61,200","60,432","58,168","56,055","54,595","50,691","48,097","46,552","46,919","45,306","43,007","42,890","29,059","22,853","27,948","24,164","24,842","28,646","28,695","27,549","22,517","19,521","20,812","23,023","20,638","20,291","19,321","19,247","19,792","19,336"
  52 Year,"61,005","56,670","55,655","59,381","59,594","63,018","62,380","64,597","63,350","62,247","62,603","62,595","62,010","60,582","60,283","57,911","55,869","54,435","50,524","48,076","45,205","46,767","45,024","42,836","42,772","28,985","22,802","27,863","24,138","24,771","28,590","28,593","27,476","22,554","19,278","20,510","22,980","20,665","20,210","19,275","19,129","19,671","19,234","18,413"
  53 Year,"57,284","56,306","57,517","59,138","62,673","62,091","64,205","63,039","61,899","62,305","62,277","61,742","60,319","59,684","57,804","55,611","54,243","50,454","47,932","45,129","45,481","44,855","42,809","42,631","28,890","22,732","27,764","24,051","24,705","28,490","28,480","27,395","22,487","19,179","20,234","22,943","20,680","20,098","19,216","19,000","19,515","19,107","18,357","16,942"
  54 Year,"56,875","58,072","57,308","62,167","61,753","63,890","62,714","61,630","61,953","61,897","61,349","59,990","59,433","57,266","55,457","54,003","50,274","47,805","44,960","45,413","43,687","42,637","42,397","28,794","22,656","27,632","23,957","24,611","28,390","28,383","27,291","22,402","19,119","20,064","22,897","20,673","19,978","19,149","18,838","19,328","18,963","18,260","16,908","15,548"
  55 Year,"58,701","57,911","60,146","61,316","63,544","62,386","61,276","61,714","61,523","61,067","59,712","59,203","56,983","54,824","53,876","50,109","47,668","44,908","45,272","43,599","41,528","42,170","28,614","22,540","27,501","23,849","24,463","28,280","28,232","27,175","22,325","19,030","19,955","22,953","20,636","19,837","19,063","18,674","19,147","18,831","18,142","16,850","15,460","14,807"
  56 Year,"58,473","60,812","59,354","62,966","61,963","60,982","61,336","61,151","60,709","59,397","58,824","56,643","54,552","53,280","49,957","47,386","44,713","45,115","43,399","41,410","41,081","28,448","22,329","27,344","23,726","24,321","28,146","28,061","27,000","22,229","18,943","19,883","22,817","20,695","19,700","18,951","18,506","18,963","18,656","18,034","16,796","15,357","14,690","14,321"
  57 Year,"61,326","59,882","60,883","61,377","60,573","61,000","60,745","60,295","59,023","58,443","56,314","54,217","53,032","49,672","47,252","44,450","44,917","43,165","41,215","40,940","27,508","22,196","27,281","23,597","24,165","28,003","27,895","26,864","22,112","18,841","19,741","22,620","20,540","19,645","18,823","18,354","18,761","18,447","17,878","16,745","15,248","14,584","14,192","14,135"
  58 Year,"60,294","61,357","59,501","60,069","60,659","60,376","59,988","58,680","58,126","56,007","53,863","52,675","49,402","46,930","44,325","44,711","42,970","40,962","40,684","27,435","21,492","27,072","23,433","23,986","27,807","27,672","26,685","21,967","18,737","19,607","22,457","20,385","19,468","18,771","18,177","18,536","18,265","17,733","16,624","15,123","14,460","14,024","13,999","13,116"
  59 Year,"61,874","59,873","58,342","60,102","60,020","59,646","58,333","57,751","55,682","53,478","52,356","49,079","46,709","43,990","44,537","42,700","40,715","40,451","27,233","21,404","26,285","23,289","23,792","27,594","27,432","26,490","21,814","18,580","19,450","22,276","20,213","19,309","18,618","18,038","18,309","18,058","17,584","16,529","14,960","14,275","13,829","13,851","13,026","13,068"
  60 Year,"60,346","58,756","58,272","59,469","59,265","57,982","57,339","55,254","53,107","52,011","48,778","46,381","43,735","44,195","42,554","40,496","40,247","27,076","21,215","26,184","22,522","23,588","27,304","27,150","26,270","21,625","18,448","19,270","22,078","20,039","19,135","18,458","17,843","18,138","17,815","17,393","16,400","14,828","14,073","13,636","13,670","12,906","12,866","13,089"
  61 Year,"58,987","58,595","57,701","58,696","57,566","56,925","54,871","52,720","51,637","48,388","46,040","43,389","43,904","42,197","40,263","39,935","26,883","21,112","26,014","22,408","22,820","27,015","26,959","26,002","21,420","18,252","19,074","21,840","19,837","18,942","18,230","17,603","17,899","17,617","17,188","16,308","14,691","13,881","13,452","13,516","12,807","12,679","12,879","12,066"
  62 Year,"58,926","58,028","57,013","57,023","56,532","54,506","52,319","51,278","48,063","45,622","43,055","43,497","41,940","39,968","39,680","26,685","20,964","25,825","22,236","22,643","26,112","26,684","25,717","21,205","18,046","18,826","21,609","19,634","18,724","18,016","17,387","17,694","17,374","17,024","16,174","14,512","13,680","13,245","13,315","12,695","12,450","12,633","11,841","11,820"
  63 Year,"58,202","57,190","55,327","55,948","54,033","51,866","50,862","47,695","45,291","42,734","43,126","41,541","39,604","39,349","26,544","20,744","25,588","22,020","22,438","25,958","25,744","25,462","20,962","17,847","18,586","21,322","19,384","18,516","17,789","17,138","17,422","17,153","16,781","16,074","14,320","13,462","13,040","13,127","12,533","12,177","12,370","11,608","11,575","11,153"
  64 Year,"57,327","55,438","54,299","53,490","51,432","50,409","47,260","44,906","42,395","42,747","41,155","39,188","38,977","26,286","20,655","25,301","21,819","22,209","25,672","25,543","24,526","20,689","17,564","18,299","21,048","19,154","18,252","17,529","16,900","17,173","16,889","16,485","15,831","14,168","13,234","12,813","12,929","12,376","11,929","12,094","11,364","11,349","10,930","10,321"
  65 Year,"55,569","54,426","51,876","50,893","49,966","46,868","44,489","42,023","42,339","40,723","38,787","38,555","26,049","20,377","25,141","21,577","21,950","25,417","25,228","24,239","19,931","17,317","18,074","20,723","18,881","17,990","17,285","16,616","16,901","16,596","16,190","15,550","13,925","13,045","12,553","12,736","12,235","11,648","11,816","11,096","11,103","10,705","10,106","10,401"
  66 Year,"54,462","51,968","49,377","49,409","46,445","44,043","41,568","41,908","40,266","38,370","38,130","25,702","20,180","24,834","21,350","21,689","25,137","24,880","23,967","19,682","16,595","17,802","20,401","18,597","17,713","16,993","16,303","16,600","16,323","15,862","15,225","13,665","12,777","12,343","12,492","12,085","11,372","11,546","10,815","10,832","10,494","9,843","10,110","9,696"
